orbit_key,dataset,collection,product_type,mode,orbit_state,track,track_number,frame,frame_number,scene_count,unique_footprints,repeat_cycles,absolute_orbits,first_start_time,last_stop_time,example_scene
SCS_T014_F158,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,DESCENDING,T014,14,F158,158,48,23,"1,10,2,3,4,5,6,7,8,9","3030,3074,3118,3162,3338,3382,3426,3470,3514,3558,3602,3646,3690,3734,3778,3822,3866,3910,3954,3998,4042",2025-11-21T22:11:33.502Z,2026-01-29T22:12:34.842Z,BIO_S1_SCS__1S_20251130T221139_20251130T221200_T_G01_M01_C04_T014_F158_01_DKPNP0
SCS_T014_F159,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,DESCENDING,T014,14,F159,159,34,17,"1,10,2,3,4,5,6,7,8,9","3338,3382,3426,3470,3514,3558,3602,3646,3690,3734,3778,3822,3866,3910,3954,3998,4042",2025-12-12T22:12:05.487Z,2026-01-29T22:12:53.846Z,BIO_S2_SCS__1S_20251212T221205_20251212T221226_T_G01_M01_C01_T014_F159_01_DJKLKE
SCS_T014_F160,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,DESCENDING,T014,14,F160,160,20,10,"1,10,2,3,4,5,6,7,8,9","3646,3690,3734,3778,3822,3866,3910,3954,3998,4042",2026-01-02T22:12:36.194Z,2026-01-29T22:13:12.850Z,BIO_S3_SCS__1M_20260108T221239_20260108T221259_T_G01_M01_C03_T014_F160_01_DKYLNZ
SCS_T014_F161,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,DESCENDING,T014,14,F161,161,20,10,"1,10,2,3,4,5,6,7,8,9","3646,3690,3734,3778,3822,3866,3910,3954,3998,4042",2026-01-02T22:12:55.199Z,2026-01-29T22:13:31.854Z,BIO_S3_SCS__1M_20260105T221257_20260105T221318_T_G01_M01_C02_T014_F161_01_DKT3Y5
SCS_T020_F291,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,ASCENDING,T020,20,F291,291,20,10,"1,2,3,4,5,6,7","4532,4576,4620,4664,4708,4752,4796,4840,4884,4928",2026-03-04T08:47:57.147Z,2026-03-31T08:48:26.711Z,BIO_S2_SCS__1S_20260313T084803_20260313T084814_T_G01_M02_C04_T020_F291_01_DO84M3
SCS_T020_F292,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,ASCENDING,T020,20,F292,292,54,27,"1,10,2,3,4,5,6,7,8,9","3652,3696,3740,3784,3828,3872,3916,3960,4004,4048,4224,4268,4312,4356,4400,4444,4488,4532,4576,4620,4664,4708,4752,4796,4840,4884,4928",2026-01-03T08:43:37.948Z,2026-03-31T08:48:45.729Z,BIO_S1_SCS__1S_20260211T084752_20260211T084814_T_G01_M02_C01_T020_F292_01_DMOHGS
SCS_T020_F293,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,ASCENDING,T020,20,F293,293,68,34,"1,10,2,3,4,5,6,7,8,9","3344,3388,3432,3476,3520,3564,3608,3652,3696,3740,3784,3828,3872,3916,3960,4004,4048,4224,4268,4312,4356,4400,4444,4488,4532,4576,4620,4664,4708,4752,4796,4840,4884,4928",2025-12-13T08:43:41.783Z,2026-03-31T08:49:04.747Z,BIO_S1_SCS__1M_20260211T084813_20260211T084833_T_G01_M02_C01_T020_F293_01_DMOHBP
SCS_T020_F294,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,ASCENDING,T020,20,F294,294,68,34,"1,10,2,3,4,5,6,7,8,9","3344,3388,3432,3476,3520,3564,3608,3652,3696,3740,3784,3828,3872,3916,3960,4004,4048,4224,4268,4312,4356,4400,4444,4488,4532,4576,4620,4664,4708,4752,4796,4840,4884,4928",2025-12-13T08:44:00.799Z,2026-03-31T08:49:23.763Z,BIO_S1_SCS__1M_20260211T084832_20260211T084852_T_G01_M02_C01_T020_F294_01_DMOHC0
SCS_T020_F295,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,ASCENDING,T020,20,F295,295,82,41,"1,10,2,3,4,5,6,7,8,9","3036,3080,3124,3168,3344,3388,3432,3476,3520,3564,3608,3652,3696,3740,3784,3828,3872,3916,3960,4004,4048,4224,4268,4312,4356,4400,4444,4488,4532,4576,4620,4664,4708,4752,4796,4840,4884,4928",2025-11-22T08:44:06.994Z,2026-03-31T08:49:42.779Z,BIO_S2_SCS__1M_20251213T084419_20251213T084440_T_G01_M01_C01_T020_F295_01_DJL9AY
SCS_T020_F296,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,ASCENDING,T020,20,F296,296,84,42,"1,10,2,3,4,5,6,7,8,9","3036,3080,3124,3168,3344,3388,3432,3476,3520,3564,3608,3652,3696,3740,3784,3828,3872,3916,3960,4004,4048,4224,4268,4312,4356,4400,4444,4488,4532,4576,4620,4664,4708,4752,4796,4840,4884,4928",2025-11-22T08:44:26.009Z,2026-03-31T08:50:01.793Z,BIO_S1_SCS__1M_20251201T084431_20251201T084452_T_G01_M01_C04_T020_F296_01_DKPTYA
SCS_T020_F297,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,ASCENDING,T020,20,F297,297,84,42,"1,10,2,3,4,5,6,7,8,9","3036,3080,3124,3168,3344,3388,3432,3476,3520,3564,3608,3652,3696,3740,3784,3828,3872,3916,3960,4004,4048,4224,4268,4312,4356,4400,4444,4488,4532,4576,4620,4664,4708,4752,4796,4840,4884,4928",2025-11-22T08:44:45.022Z,2026-03-31T08:50:20.808Z,BIO_S1_SCS__1S_20251201T084450_20251201T084511_T_G01_M01_C04_T020_F297_01_DKPU0C
SCS_T020_F298,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,ASCENDING,T020,20,F298,298,84,42,"1,10,2,3,4,5,6,7,8,9","3036,3080,3124,3168,3344,3388,3432,3476,3520,3564,3608,3652,3696,3740,3784,3828,3872,3916,3960,4004,4048,4224,4268,4312,4356,4400,4444,4488,4532,4576,4620,4664,4708,4752,4796,4840,4884,4928",2025-11-22T08:45:04.035Z,2026-03-31T08:50:39.821Z,BIO_S1_SCS__1M_20251201T084509_20251201T084530_T_G01_M01_C04_T020_F298_01_DKPU7K
SCS_T020_F299,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,ASCENDING,T020,20,F299,299,82,41,"1,10,2,3,4,5,6,7,8,9","3036,3080,3124,3168,3344,3388,3432,3476,3520,3564,3608,3652,3696,3740,3784,3828,3872,3916,3960,4004,4048,4224,4268,4312,4356,4400,4444,4488,4532,4576,4620,4664,4708,4752,4796,4840,4884,4928",2025-11-22T08:45:23.048Z,2026-03-31T08:50:58.832Z,BIO_S1_SCS__1M_20251201T084528_20251201T084549_T_G01_M01_C04_T020_F299_01_DKPU0B
SCS_T020_F300,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,ASCENDING,T020,20,F300,300,84,42,"1,10,2,3,4,5,6,7,8,9","3036,3080,3124,3168,3344,3388,3432,3476,3520,3564,3608,3652,3696,3740,3784,3828,3872,3916,3960,4004,4048,4224,4268,4312,4356,4400,4444,4488,4532,4576,4620,4664,4708,4752,4796,4840,4884,4928",2025-11-22T08:45:42.058Z,2026-03-31T08:51:17.844Z,BIO_S1_SCS__1M_20251201T084547_20251201T084608_T_G01_M01_C04_T020_F300_01_DKPTZD
SCS_T020_F301,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,ASCENDING,T020,20,F301,301,82,41,"1,10,2,3,4,5,6,7,8,9","3036,3080,3124,3168,3344,3388,3432,3476,3520,3564,3608,3652,3696,3740,3784,3828,3872,3916,3960,4004,4048,4224,4268,4312,4356,4400,4444,4488,4532,4576,4620,4664,4708,4752,4796,4840,4884,4928",2025-11-22T08:46:01.070Z,2026-03-31T08:51:36.855Z,BIO_S1_SCS__1M_20260211T085045_20260211T085105_T_G01_M02_C01_T020_F301_01_DMOHLD
SCS_T020_F302,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,ASCENDING,T020,20,F302,302,82,41,"1,10,2,3,4,5,6,7,8,9","3036,3080,3124,3168,3344,3388,3432,3476,3520,3564,3608,3652,3696,3740,3784,3828,3872,3916,3960,4004,4048,4224,4268,4312,4356,4400,4444,4488,4532,4576,4620,4664,4708,4752,4796,4840,4884,4928",2025-11-22T08:46:20.079Z,2026-03-31T08:51:55.862Z,BIO_S2_SCS__1S_20251213T084632_20251213T084653_T_G01_M01_C01_T020_F302_01_DJL9A6
