poly_id,class,domain,sample,scene_time,scene_name
Sv_11_R_143,Sv,11,R,2026-07-14T21:05:31+00:00,NISAR_L2_PR_GSLC_025_096_D_097_2005_DHDH_M_20260714T210531_20260714T210606_P05023_F_F_J_001
Fo_05_R_3,Fo,05,R,2026-07-14T21:06:05+00:00,NISAR_L2_PR_GSLC_025_096_D_098_4005_DHDH_A_20260714T210605_20260714T210639_P05023_F_F_J_001
Fo_11_B_137,Fo,11,B,2026-07-14T21:06:05+00:00,NISAR_L2_PR_GSLC_025_096_D_098_4005_DHDH_A_20260714T210605_20260714T210639_P05023_F_F_J_001
Gl_05_U_11,Gl,05,U,2026-07-14T21:06:05+00:00,NISAR_L2_PR_GSLC_025_096_D_098_4005_DHDH_A_20260714T210605_20260714T210639_P05023_F_F_J_001
Gl_05_W_10,Gl,05,W,2026-07-14T21:06:05+00:00,NISAR_L2_PR_GSLC_025_096_D_098_4005_DHDH_A_20260714T210605_20260714T210639_P05023_F_F_J_001
Sv_08_B_22,Sv,08,B,2026-07-14T21:06:05+00:00,NISAR_L2_PR_GSLC_025_096_D_098_4005_DHDH_A_20260714T210605_20260714T210639_P05023_F_F_J_001
Sv_08_G_24,Sv,08,G,2026-07-14T21:06:05+00:00,NISAR_L2_PR_GSLC_025_096_D_098_4005_DHDH_A_20260714T210605_20260714T210639_P05023_F_F_J_001
Sv_08_U_21,Sv,08,U,2026-07-14T21:06:05+00:00,NISAR_L2_PR_GSLC_025_096_D_098_4005_DHDH_A_20260714T210605_20260714T210639_P05023_F_F_J_001
Sv_08_W_20,Sv,08,W,2026-07-14T21:06:05+00:00,NISAR_L2_PR_GSLC_025_096_D_098_4005_DHDH_A_20260714T210605_20260714T210639_P05023_F_F_J_001
Sv_04_B_127,Sv,04,B,2026-07-15T09:24:41+00:00,NISAR_L2_PR_GSLC_025_103_A_167_2005_DHDH_A_20260715T092441_20260715T092515_P05023_N_F_J_001
Sv_04_G_129,Sv,04,G,2026-07-15T09:24:41+00:00,NISAR_L2_PR_GSLC_025_103_A_167_2005_DHDH_A_20260715T092441_20260715T092515_P05023_N_F_J_001
Gl_04_B_132,Gl,04,B,2026-07-15T09:25:14+00:00,NISAR_L2_PR_GSLC_025_103_A_168_2005_DHDH_A_20260715T092514_20260715T092549_P05023_N_F_J_001
Fo_04_U_121,Fo,04,U,2026-07-15T09:25:48+00:00,NISAR_L2_PR_GSLC_025_103_A_169_2005_DHDH_A_20260715T092548_20260715T092622_P05023_N_F_J_001
