file_name,date,track,frame
BIO_S1_SCS__1S_20251124T094954_20251124T095015_T_G01_M01_C02_T006_F296_01_DNH94V.zip,20251124,T006,F296
BIO_S1_SCS__1S_20251124T094954_20251124T095015_T_G01_M01_C02_T006_F296_01_DNTL0O.zip,20251124,T006,F296
BIO_S1_SCS__1S_20251124T095013_20251124T095034_T_G01_M01_C02_T006_F297_01_DK5T2J.zip,20251124,T006,F297
BIO_S1_SCS__1S_20251124T095013_20251124T095034_T_G01_M01_C02_T006_F297_01_DNH97N.zip,20251124,T006,F297
BIO_S1_SCS__1S_20251124T095013_20251124T095034_T_G01_M01_C02_T006_F297_01_DNTL13.zip,20251124,T006,F297
BIO_S1_SCS__1S_20251124T095032_20251124T095053_T_G01_M01_C02_T006_F298_01_DK5T2U.zip,20251124,T006,F298
BIO_S1_SCS__1S_20251124T095032_20251124T095053_T_G01_M01_C02_T006_F298_01_DNH973.zip,20251124,T006,F298
BIO_S1_SCS__1S_20251124T095032_20251124T095053_T_G01_M01_C02_T006_F298_01_DNTL0F.zip,20251124,T006,F298
BIO_S1_SCS__1S_20251124T095051_20251124T095112_T_G01_M01_C02_T006_F299_01_DK5T30.zip,20251124,T006,F299
BIO_S1_SCS__1S_20251124T095051_20251124T095112_T_G01_M01_C02_T006_F299_01_DNH95E.zip,20251124,T006,F299
BIO_S1_SCS__1S_20251124T095051_20251124T095112_T_G01_M01_C02_T006_F299_01_DNTKYK.zip,20251124,T006,F299
BIO_S1_SCS__1S_20251124T095110_20251124T095131_T_G01_M01_C02_T006_F300_01_DK5TL2.zip,20251124,T006,F300
BIO_S1_SCS__1S_20251124T095110_20251124T095131_T_G01_M01_C02_T006_F300_01_DNH956.zip,20251124,T006,F300
BIO_S1_SCS__1S_20251124T095110_20251124T095131_T_G01_M01_C02_T006_F300_01_DNTKZD.zip,20251124,T006,F300
BIO_S1_SCS__1S_20251124T095129_20251124T095150_T_G01_M01_C02_T006_F301_01_DK5TLA.zip,20251124,T006,F301
BIO_S1_SCS__1S_20251124T095129_20251124T095150_T_G01_M01_C02_T006_F301_01_DNHM8D.zip,20251124,T006,F301
BIO_S1_SCS__1S_20251124T095129_20251124T095150_T_G01_M01_C02_T006_F301_01_DNTKOA.zip,20251124,T006,F301
BIO_S1_SCS__1S_20251124T095148_20251124T095209_T_G01_M01_C02_T006_F302_01_DK5TN5.zip,20251124,T006,F302
BIO_S1_SCS__1S_20251124T095148_20251124T095209_T_G01_M01_C02_T006_F302_01_DNHM8Z.zip,20251124,T006,F302
BIO_S1_SCS__1S_20251124T095148_20251124T095209_T_G01_M01_C02_T006_F302_01_DNTKKJ.zip,20251124,T006,F302
BIO_S1_SCS__1S_20251124T095207_20251124T095228_T_G01_M01_C02_T006_F303_01_DK5TM4.zip,20251124,T006,F303
BIO_S1_SCS__1S_20251124T095207_20251124T095228_T_G01_M01_C02_T006_F303_01_DNHMAQ.zip,20251124,T006,F303
BIO_S1_SCS__1S_20251124T095207_20251124T095228_T_G01_M01_C02_T006_F303_01_DNTKOQ.zip,20251124,T006,F303
BIO_S1_SCS__1S_20251124T095226_20251124T095247_T_G01_M01_C02_T006_F304_01_DK5TV1.zip,20251124,T006,F304
BIO_S1_SCS__1S_20251124T095226_20251124T095247_T_G01_M01_C02_T006_F304_01_DNHMA5.zip,20251124,T006,F304
BIO_S1_SCS__1S_20251124T095226_20251124T095247_T_G01_M01_C02_T006_F304_01_DNTKMI.zip,20251124,T006,F304
BIO_S1_SCS__1S_20251124T095245_20251124T095306_T_G01_M01_C02_T006_F305_01_DK5TV3.zip,20251124,T006,F305
BIO_S1_SCS__1S_20251124T095245_20251124T095306_T_G01_M01_C02_T006_F305_01_DNHMA0.zip,20251124,T006,F305
BIO_S1_SCS__1S_20251124T095245_20251124T095306_T_G01_M01_C02_T006_F305_01_DNTKO7.zip,20251124,T006,F305
BIO_S1_SCS__1S_20251124T095304_20251124T095325_T_G01_M01_C02_T006_F306_01_DK5TJV.zip,20251124,T006,F306
BIO_S1_SCS__1S_20251124T095304_20251124T095325_T_G01_M01_C02_T006_F306_01_DNH8P4.zip,20251124,T006,F306
BIO_S1_SCS__1S_20251124T095304_20251124T095325_T_G01_M01_C02_T006_F306_01_DNTKPO.zip,20251124,T006,F306
BIO_S1_SCS__1S_20251124T095323_20251124T095344_T_G01_M01_C02_T006_F307_01_DK5TIU.zip,20251124,T006,F307
BIO_S1_SCS__1S_20251124T095323_20251124T095344_T_G01_M01_C02_T006_F307_01_DNH8QG.zip,20251124,T006,F307
BIO_S1_SCS__1S_20251124T095323_20251124T095344_T_G01_M01_C02_T006_F307_01_DNTKPA.zip,20251124,T006,F307
BIO_S1_SCS__1S_20251124T095342_20251124T095403_T_G01_M01_C02_T006_F308_01_DK5TH5.zip,20251124,T006,F308
BIO_S1_SCS__1S_20251124T095342_20251124T095403_T_G01_M01_C02_T006_F308_01_DNH8PO.zip,20251124,T006,F308
BIO_S1_SCS__1S_20251124T095342_20251124T095403_T_G01_M01_C02_T006_F308_01_DNTKP1.zip,20251124,T006,F308
BIO_S1_SCS__1S_20251124T095401_20251124T095422_T_G01_M01_C02_T006_F309_01_DK5TJ7.zip,20251124,T006,F309
BIO_S1_SCS__1S_20251124T095401_20251124T095422_T_G01_M01_C02_T006_F309_01_DNH8QO.zip,20251124,T006,F309
BIO_S1_SCS__1S_20251124T095401_20251124T095422_T_G01_M01_C02_T006_F309_01_DNTKP2.zip,20251124,T006,F309
BIO_S1_SCS__1S_20251124T221116_20251124T221137_T_G01_M01_C02_T014_F157_01_DKCM93.zip,20251124,T014,F157
BIO_S1_SCS__1S_20251124T221116_20251124T221137_T_G01_M01_C02_T014_F157_01_DNHE1U.zip,20251124,T014,F157
BIO_S1_SCS__1S_20251124T221116_20251124T221137_T_G01_M01_C02_T014_F157_01_DNU45Y.zip,20251124,T014,F157
BIO_S1_SCS__1S_20251124T221135_20251124T221156_T_G01_M01_C02_T014_F158_01_DKCMA2.zip,20251124,T014,F158
BIO_S1_SCS__1S_20251124T221135_20251124T221156_T_G01_M01_C02_T014_F158_01_DNHE3O.zip,20251124,T014,F158
BIO_S1_SCS__1S_20251124T221135_20251124T221156_T_G01_M01_C02_T014_F158_01_DNU3P7.zip,20251124,T014,F158
BIO_S1_SCS__1S_20251125T084408_20251125T084429_T_G01_M01_C02_T020_F295_01_DKCQWS.zip,20251125,T020,F295
BIO_S1_SCS__1S_20251125T084409_20251125T084429_T_G01_M01_C02_T020_F295_01_DNUK0F.zip,20251125,T020,F295
BIO_S1_SCS__1S_20251125T084427_20251125T084448_T_G01_M01_C02_T020_F296_01_DKCXQZ.zip,20251125,T020,F296
BIO_S1_SCS__1S_20251125T084428_20251125T084448_T_G01_M01_C02_T020_F296_01_DNUKO0.zip,20251125,T020,F296
BIO_S1_SCS__1S_20251125T084446_20251125T084507_T_G01_M01_C02_T020_F297_01_DKCXOJ.zip,20251125,T020,F297
BIO_S1_SCS__1S_20251125T084447_20251125T084507_T_G01_M01_C02_T020_F297_01_DNUKRD.zip,20251125,T020,F297
BIO_S1_SCS__1S_20251125T084505_20251125T084526_T_G01_M01_C02_T020_F298_01_DKCXMB.zip,20251125,T020,F298
BIO_S1_SCS__1S_20251125T084506_20251125T084526_T_G01_M01_C02_T020_F298_01_DNUKPO.zip,20251125,T020,F298
BIO_S1_SCS__1S_20251125T084524_20251125T084545_T_G01_M01_C02_T020_F299_01_DKCXO2.zip,20251125,T020,F299
BIO_S1_SCS__1S_20251125T084525_20251125T084545_T_G01_M01_C02_T020_F299_01_DNUKQZ.zip,20251125,T020,F299
BIO_S1_SCS__1S_20251125T084544_20251125T084604_T_G01_M01_C02_T020_F300_01_DKCXOH.zip,20251125,T020,F300
BIO_S1_SCS__1S_20251125T084544_20251125T084604_T_G01_M01_C02_T020_F300_01_DNUKS4.zip,20251125,T020,F300
BIO_S1_SCS__1S_20251125T084603_20251125T084623_T_G01_M01_C02_T020_F301_01_DKCOEL.zip,20251125,T020,F301
BIO_S1_SCS__1S_20251125T084603_20251125T084623_T_G01_M01_C02_T020_F301_01_DNUKNP.zip,20251125,T020,F301
BIO_S1_SCS__1S_20251125T084622_20251125T084642_T_G01_M01_C02_T020_F302_01_DKCQXN.zip,20251125,T020,F302
BIO_S1_SCS__1S_20251125T084622_20251125T084642_T_G01_M01_C02_T020_F302_01_DNUKR3.zip,20251125,T020,F302
BIO_S1_SCS__1S_20251125T084641_20251125T084701_T_G01_M01_C02_T020_F303_01_DKCQZB.zip,20251125,T020,F303
BIO_S1_SCS__1S_20251125T084641_20251125T084701_T_G01_M01_C02_T020_F303_01_DNUKNO.zip,20251125,T020,F303
BIO_S1_SCS__1S_20251125T084700_20251125T084720_T_G01_M01_C02_T020_F304_01_DKCSXK.zip,20251125,T020,F304
BIO_S1_SCS__1S_20251125T084700_20251125T084720_T_G01_M01_C02_T020_F304_01_DNUKP1.zip,20251125,T020,F304
BIO_S1_SCS__1S_20251125T084719_20251125T084739_T_G01_M01_C02_T020_F305_01_DKCQYX.zip,20251125,T020,F305
BIO_S1_SCS__1S_20251125T084719_20251125T084739_T_G01_M01_C02_T020_F305_01_DNUKNH.zip,20251125,T020,F305
BIO_S1_SCS__1S_20251125T084730_20251125T084758_T_G01_M01_C02_T020_F306_01_DKCNWC.zip,20251125,T020,F306
