query_name,feature_index,dataset,platform,product_id,processing_level,flight_direction,relative_orbit,absolute_orbit,frame_number,start_time,stop_time,scene_name
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_006_117_A_174_2005_DHDH_A_20251130T084658_20251130T084732_X05010_F_F_J_001,GSLC,ASCENDING,117,1773,174,2025-11-30T08:46:58Z,2025-11-30T08:47:32Z,NISAR_L2_PR_GSLC_006_117_A_174_2005_DHDH_A_20251130T084658_20251130T084732_X05010_F_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_006_117_A_175_2005_DHDH_A_20251130T084731_20251130T084806_X05010_F_F_J_001,GSLC,ASCENDING,117,1773,175,2025-11-30T08:47:31Z,2025-11-30T08:48:06Z,NISAR_L2_PR_GSLC_006_117_A_175_2005_DHDH_A_20251130T084731_20251130T084806_X05010_F_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_006_140_D_094_2005_DHDH_A_20251201T221845_20251201T221920_X05009_N_F_J_001,GSLC,DESCENDING,140,1796,94,2025-12-01T22:18:45Z,2025-12-01T22:19:20Z,NISAR_L2_PR_GSLC_006_140_D_094_2005_DHDH_A_20251201T221845_20251201T221920_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_006_140_D_095_2005_DHDH_A_20251201T221919_20251201T221953_X05009_N_F_J_001,GSLC,DESCENDING,140,1796,95,2025-12-01T22:19:19Z,2025-12-01T22:19:53Z,NISAR_L2_PR_GSLC_006_140_D_095_2005_DHDH_A_20251201T221919_20251201T221953_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_007_016_A_175_4005_DHDH_A_20251205T083942_20251205T083947_X05009_N_P_J_001,GSLC,ASCENDING,16,1845,175,2025-12-05T08:39:42Z,2025-12-05T08:39:47Z,NISAR_L2_PR_GSLC_007_016_A_175_4005_DHDH_A_20251205T083942_20251205T083947_X05009_N_P_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_007_016_A_176_4005_DHDH_A_20251205T083946_20251205T084020_X05009_N_F_J_001,GSLC,ASCENDING,16,1845,176,2025-12-05T08:39:46Z,2025-12-05T08:40:20Z,NISAR_L2_PR_GSLC_007_016_A_176_4005_DHDH_A_20251205T083946_20251205T084020_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_007_045_A_174_2005_DHDH_A_20251207T085516_20251207T085552_X05009_N_F_J_001,GSLC,ASCENDING,45,1874,174,2025-12-07T08:55:16Z,2025-12-07T08:55:52Z,NISAR_L2_PR_GSLC_007_045_A_174_2005_DHDH_A_20251207T085516_20251207T085552_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_007_045_A_173_2005_DHDH_A_20251207T085516_20251207T085519_X05010_N_P_J_001,GSLC,ASCENDING,45,1874,173,2025-12-07T08:55:16Z,2025-12-07T08:55:19Z,NISAR_L2_PR_GSLC_007_045_A_173_2005_DHDH_A_20251207T085516_20251207T085519_X05010_N_P_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_007_045_A_175_2005_DHDH_A_20251207T085551_20251207T085626_X05009_N_F_J_001,GSLC,ASCENDING,45,1874,175,2025-12-07T08:55:51Z,2025-12-07T08:56:26Z,NISAR_L2_PR_GSLC_007_045_A_175_2005_DHDH_A_20251207T085551_20251207T085626_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_007_140_D_094_2005_SHSH_A_20251213T221846_20251213T221920_X05009_N_F_J_001,GSLC,DESCENDING,140,1969,94,2025-12-13T22:18:46Z,2025-12-13T22:19:20Z,NISAR_L2_PR_GSLC_007_140_D_094_2005_SHSH_A_20251213T221846_20251213T221920_X05009_N_F_J_001
